index,event_annotation_id,event_id,argtext,Text,Important,Goal_Test,annotator_ID,Goal_Test_2,Final_Goal_Test
0,2,0,a pub,,,important,0,a pub in Tel Aviv Israel, in 
1,3,0,Tel Aviv Israel,,,important,0,,
2,16,1,Jesus de Greatest,,,important,0,Jesus de Greatest unveiled on New Years, unveiled on 
3,17,1,New Years,,,important,0,,
4,22,2,one thousand houses,,,important,0,one thousand houses in Manilas Tondo district, in 
5,23,2,Manilas Tondo district,,,important,0,,
6,32,3,force,,,important,0,force conciding with a Russian food embargo, conciding with 
7,33,3,a Russian food embargo,,,important,0,,
8,40,4,at most two children,,,important,0,at most two children replacing controversial onechild policy, replacing 
9,41,4,controversial onechild policy,,,important,0,,
10,51,5,Alafur Ragnar GrAmsson,,,important,0,Alafur Ragnar GrAmsson has been President, has been 
11,52,5,President,,,important,0,,
12,63,6,JaisheMohammed,,,important,0,JaisheMohammed attack an Indian Air Force base, attack 
13,64,6,an Indian Air Force base,,,important,0,,
14,70,7,Mexicos Morelos state,,,important,0,Mexicos Morelos state assassinated by gunmen, assassinated by 
15,71,7,gunmen,,,important,0,,
16,82,8,Nevada,,,important,0,Nevada takeover headquarters, takeover 
17,83,8,headquarters,,,important,0,,
18,96,9,The Saudi Arabian government,,,important,0,The Saudi Arabian government excutes 47 people, excutes 
19,97,9,47 people,,,important,0,,
20,107,10,Iraq and Levant,,,important,0,Iraq and Levant claims responsibilty for a suicide bomb attack, claims responsibilty for 
21,109,10,a suicide bomb attack,,,important,0,,
22,119,11,loud explosions,,,important,0,loud explosions heard at an Indian Air Force base, heard at 
23,120,11,an Indian Air Force base,,,important,0,,
24,129,12,Fiji,,,important,0,Fiji warns residents, warns 
25,130,12,residents,,,important,0,,
26,133,13,US New York Governor Andrew M. Cuomo,,,important,0,US New York Governor Andrew M. Cuomo place homeless people in shelters,place
27,135,13,homeless people,,,important,0,,in
28,136,13,shelters,,,important,0,,
29,139,14,The United Kingdom,,,important,0,The United Kingdom designates Ascension Island, designates 
30,140,14,Ascension Island,,,important,0,,
31,150,15,Northkorea,,,important,0,Northkorea preparing for an imminent thermonuclear weapon test, preparing for 
32,151,15,an imminent thermonuclear weapon test,,,important,0,,
33,159,16,Saudi Arabia breaks,,,important,0,Saudi Arabia breaks off diplomatic relations, off 
34,160,16,diplomatic relations,,,important,0,,
35,166,17,Two suspects,,,important,0,Two suspects killed in a clash, killed in 
36,167,17,a clash,,,important,0,,
37,178,18,Two Sunni mosques,,,important,0,Two Sunni mosques bombed in central Iraq, bombed in 
38,179,18,central Iraq,,,important,0,,
39,188,19,Iraq and Levant,,,important,0,Iraq and Levant releases a video, releases 
40,189,19,a video,,,important,0,,
41,201,20,terrorists,,,important,0,terrorists attacked an Indian Air Force base, attacked 
42,202,20,an Indian Air Force base,,,important,0,,
43,217,21,Petrol Facilities Guard militia,,,important,0,Petrol Facilities Guard militia defending Sidra, defending 
44,218,21,Sidra,,,important,0,,
45,222,22,Shenzhen Stock Exchange,,,important,0,Shenzhen Stock Exchange suspended for day, suspended for 
46,223,22,day,,,important,0,,
47,231,23,Nokia telecommunications,,,important,0,Nokia telecommunications based in Finland, based in 
48,233,23,Finland,,,important,0,,
49,240,24,At least six people,,,important,0,At least six people killed from a 6.7 magnitude earthquake, killed from 
50,242,24,a 6.7 magnitude earthquake,,,important,0,,
51,263,25,Schengen Agreement,,,important,0,Schengen Agreement on free movement, on 
52,264,25,free movement,,,important,0,,
53,267,26,US Barack Obama,,,important,0,US Barack Obama announces executive orders, announces 
54,268,26,executive orders,,,important,0,,
55,273,27,German police,,,important,0,German police begin investigations, begin 
56,274,27,investigations,,,important,0,,
57,285,28,Nemra,,,important,0,Nemra defeated Alvin Jacklick, defeated 
58,286,28,Alvin Jacklick,,,important,0,,
59,288,29,Former Peking University prodigy Li Shulei,,,important,0,Former Peking University prodigy Li Shulei named Secretary of Discipline Inspection Commission,named
60,289,29,Secretary,,,important,0,,of
61,290,29,Discipline Inspection Commission,,,important,0,,
62,294,30,Pure and Applied Chemistry,,,important,0,Pure and Applied Chemistry confirms addition of four new chemical elements,confirms
63,295,30,addition,,,important,0,,of
64,296,30,four new chemical elements,,,important,0,,
65,309,31,Real Madrid sack manager Rafael BenAtez,,,important,0,Real Madrid sack manager Rafael BenAtez replacing him, replacing 
66,310,31,him,,,important,0,,
67,314,32,American football National Football League,,,important,0,American football National Football League receives relocation applications, receives 
68,315,32,relocation applications,,,important,0,,
69,322,33,a joint operation,,,important,0,a joint operation with Afghan National Security Forces, with 
70,323,33,Afghan National Security Forces,,,important,0,,
71,326,34,Violent riots,,,important,0,Violent riots break out in Kaliachak West Bengal India, break out in 
72,327,34,Kaliachak West Bengal India,,,important,0,,
73,331,35,One Shia protester,,,important,0,One Shia protester killed by Saudi police, killed by 
74,333,35,Saudi police,,,important,0,,
75,335,36,Islamic State militants,,,important,0,Islamic State militants continue to besiege Libyan oil port, continue to besiege 
76,336,36,Libyan oil port,,,important,0,,
77,354,37,Saudi Arabias execution,,,important,0,Saudi Arabias execution threatens to destroy saudi arabias, threatens to destroy 
78,357,37,saudi arabias,,,important,0,,
79,364,38,Yinchuan,,,important,0,Yinchuan resulting in at least fourteen deaths, resulting in 
80,365,38,at least fourteen deaths,,,important,0,,
81,373,39,1997 98,,,important,0,1997 98 likely to produce dangerous flooding and mudslides, likely to produce 
82,374,39,dangerous flooding and mudslides,,,important,0,,
83,387,40,Iran,,,important,0,Iran will not  interfere with Syrian peace talks, will not  interfere with 
84,388,40,Syrian peace talks,,,important,0,,
85,390,41,The Second Artillery Corps,,,important,0,The Second Artillery Corps reorganized into Peoples Liberation Army Rocket Force, reorganized into 
86,391,41,Peoples Liberation Army Rocket Force,,,important,0,,
87,402,42,Former Beijing Deputy communist party Secretary Lu Xiwen,,,important,0,Former Beijing Deputy communist party Secretary Lu Xiwen expelled from Communist Party, expelled from 
88,403,42,Communist Party,,,important,0,,
89,412,43,a petition,,,important,0,a petition signed by more than 560000 people, signed by 
90,413,43,more than 560000 people,,,important,0,,
91,423,44,The United Kingdoms Prime Minister David Cameron,,,important,0,The United Kingdoms Prime Minister David Cameron suspend collective responsibility, suspend 
92,425,44,collective responsibility,,,important,0,,
93,437,45,The Islamic States Libyan branch,,,important,0,The Islamic States Libyan branch continues attacks, continues 
94,438,45,attacks,,,important,0,,
95,444,46,Bahrain,,,important,0,Bahrain dismantled a terrorist cell, dismantled 
96,446,46,a terrorist cell,,,important,0,,
97,449,47,The Force Awakens,,,important,0,The Force Awakens becomes highestgrossing film, becomes 
98,450,47,highestgrossing film,,,important,0,,
99,453,48,TransCanada firm,,,important,0,TransCanada firm unsuccessfully applied for crossborder permission, unsuccessfully applied for 
100,454,48,crossborder permission,,,important,0,,
101,464,49,North Korea,,,important,0,North Korea cease any further nuclear activity, cease 
102,465,49,any further nuclear activity,,,important,0,,
103,466,50,German police temporarily,,,important,0,German police temporarily seals off chancellery building, seals off 
104,468,50,chancellery building,,,important,0,,
105,470,51,Texas state trooper Brian Encinia,,,important,0,Texas state trooper Brian Encinia charged with perjury, charged with 
106,471,51,perjury,,,important,0,,
107,476,52,Ken griffey Jr. and Mike Piazza,,,important,0,Ken griffey Jr. and Mike Piazza elected to Hall of Fame by Baseball Writers Association, elected to Hall of Fame by 
108,479,52,Baseball Writers Association,,,important,0,,
109,490,53,At least 65 people,,,important,0,At least 65 people killed after a truck bomb, killed after 
110,491,53,a truck bomb,,,important,0,,
111,495,54,Gunmen,,,important,0,Gunmen open fire, open 
112,496,54,fire,,,important,0,,
113,512,55,a treaty,,,important,0,a treaty never ratified by US Congress, never ratified by 
114,513,55,US Congress,,,important,0,,
115,517,56,French police shoot,,,important,0,French police shoot dead a knifewielding man, dead 
116,518,56,a knifewielding man,,,important,0,,
117,538,57,Latterday Saints,,,important,0,Latterday Saints announces three new missions, announces 
118,540,57,three new missions,,,important,0,,
119,544,58,Trade,,,important,0,Trade suspended on Shanghai Stock Exchange, suspended on 
120,545,58,Shanghai Stock Exchange,,,important,0,,
121,566,59,magnitude 2.5 or greater,,,important,0,magnitude 2.5 or greater struck Oklahoma, struck 
122,567,59,Oklahoma,,,important,0,,
123,577,60,South Korea,,,important,0,South Korea resume crossborder propaganda broadcasts, resume 
124,579,60,crossborder propaganda broadcasts,,,important,0,,
125,585,61,Iran,,,important,0,Iran bans imports, bans 
126,586,61,imports,,,important,0,,
127,594,62,The bodies,,,important,0,The bodies found in a rural village, found in 
128,596,62,a rural village,,,important,0,,
129,599,63,Scotland Yard,,,important,0,Scotland Yard inverstigating a triple murder, inverstigating 
130,601,63,a triple murder,,,important,0,,
131,611,64,three tourists,,,important,0,three tourists injured in an unsuccessful attack, injured in 
132,612,64,an unsuccessful attack,,,important,0,,
133,619,65,Iraq and Levant ISIS,,,important,0,Iraq and Levant ISIS shoots a Philadelphia police officer, shoots 
134,621,65,a Philadelphia police officer,,,important,0,,
135,625,66,a bushfire,,,important,0,a bushfire in small Western Australian town, in 
136,626,66,small Western Australian town,,,important,0,,
137,629,67,Colognes police force Wolfgang Albers,,,important,0,Colognes police force Wolfgang Albers relieved his duties, relieved his duties
138,638,68,The Mexican Navy,,,important,0,The Mexican Navy recaptures escaped drug lord JoaquAn GuzmAin, recaptures escaped 
139,639,68,drug lord JoaquAn GuzmAin,,,important,0,,
140,643,69,a former Serbian paramilitary commander,,,important,0,a former Serbian paramilitary commander charged with war crimes, charged with 
141,644,69,war crimes,,,important,0,,
142,646,70,Two police officers,,,important,0,Two police officers shot dead by gunmen, shot dead by 
143,647,70,gunmen,,,important,0,,
144,653,71,Benghazi,,,important,0,Benghazi shelled by militants, shelled by 
145,654,71,militants,,,important,0,,
146,663,72,rebels,,,important,0,rebels imprisoned by alNusra, imprisoned by 
147,664,72,alNusra,,,important,0,,
148,670,73,four towns,,,important,0,four towns evaculate in under threat, evaculate in under 
149,671,73,threat,,,important,0,,
150,680,74,governments headquarters,,,important,0,governments headquarters in Kosovos capital Pristina, in 
151,681,74,Kosovos capital Pristina,,,important,0,,
152,686,75,Sian Blakes partner Arthur SimpsonKent,,,important,0,Sian Blakes partner Arthur SimpsonKent arrested in Ghana, arrested in 
153,687,75,Ghana,,,important,0,,
154,692,76,A Bolivian spectator,,,important,0,A Bolivian spectator dies in seventh stage, dies in 
155,693,76,seventh stage,,,important,0,,
156,697,77,Turkish security forces,,,important,0,Turkish security forces kill at least 32 Kurdistan Workers Party PKK militants, kill 
157,698,77,at least 32 Kurdistan Workers Party PKK militants,,,important,0,,
158,705,78,Razih,,,important,0,Razih located in Yemens, located in 
159,706,78,Yemens,,,important,0,,
160,710,79,The Afghanistan defense Ministry,,,important,0,The Afghanistan defense Ministry recaptured Darqad District, recaptured 
161,712,79,Darqad District,,,important,0,,
162,718,80,The Martian,,,important,0,The Martian wins Award, wins 
163,719,80,Award,,,important,0,,
164,736,81,actor David Bowie,,,important,0,actor David Bowie dies from cancer aged 69, dies from 
165,737,81,cancer aged 69,,,important,0,,
166,742,82,Severe Tropical Cyclone Ula,,,important,0,Severe Tropical Cyclone Ula approaches Vanuatu, approaches 
167,743,82,Vanuatu,,,important,0,,
168,746,83,amateur football players and fans,,,important,0,amateur football players and fans plunges into a river, plunges into 
169,747,83,a river,,,important,0,,
170,751,84,Nipigon River Bridge,,,important,0,Nipigon River Bridge near Nipigon Ontario, near 
171,752,84,Nipigon Ontario,,,important,0,,
172,759,85,strategic bomber,,,important,0,strategic bomber makes a lowlevel flight, makes 
173,760,85,a lowlevel flight,,,important,0,,
174,771,86,antiPolish remarks,,,important,0,antiPolish remarks made by German politicians, made by 
175,772,86,German politicians,,,important,0,,
176,776,87,Bergdahl,,,important,0,Bergdahl charged with desertion and misbehavior, charged with 
177,777,87,desertion and misbehavior,,,important,0,,
178,791,88,JoaquAn GuzmAin,,,important,0,JoaquAn GuzmAin published by Rolling Stone, published by 
179,792,88,Rolling Stone,,,important,0,,
180,801,89,Artur Mas GavarrAs,,,important,0,Artur Mas GavarrAs plans to secede from Spain, plans to secede from 
181,802,89,Spain,,,important,0,,
182,805,90,former FIFA chief Sepp Blatter,,,important,0,former FIFA chief Sepp Blatter appeal his eight year ban, appeal 
183,807,90,his eight year ban,,,important,0,,
184,809,91,At least 51 people,,,important,0,At least 51 people killed in an attack, killed in 
185,810,91,an attack,,,important,0,,
186,821,92,A US airstrike,,,important,0,A US airstrike destroys an money and payroll hub, destroys 
187,822,92,an money and payroll hub,,,important,0,,
188,827,93,chapter eleven protection,,,important,0,chapter eleven protection collapsing market demand, collapsing 
189,829,93,market demand,,,important,0,,
190,833,94,Melbourne,,,important,0,Melbourne warn residents, warn 
191,834,94,residents,,,important,0,,
192,840,95,UKs Environment Agency,,,important,0,UKs Environment Agency resigns after receiving heavy criticism, resigns after receiving 
193,841,95,heavy criticism,,,important,0,,
194,847,96,Lionel Messi,,,important,0,Lionel Messi wins 2015 FIFA Ballon dOr, wins 
195,849,96,2015 FIFA Ballon dOr,,,important,0,,
196,865,97,Essendon Football Club,,,important,0,Essendon Football Club banned from playing in Australian Football League, banned from playing in 
197,866,97,Australian Football League,,,important,0,,
198,874,98,Alabama Crimson Tide defeat Clemson Tigers 4540,,,important,0,Alabama Crimson Tide defeat Clemson Tigers 4540 to win College Football Playoff National Championship, to win 
199,875,98,College Football Playoff National Championship,,,important,0,,
200,880,99,Sixty alleged Islamic militants,,,important,0,Sixty alleged Islamic militants arrested in Turkey, arrested in 
201,881,99,Turkey,,,important,0,,
202,885,100,The Syrian Army,,,important,0,The Syrian Army backed by Russian airstrikes, backed by 
203,886,100,Russian airstrikes,,,important,0,,
204,894,101,Boko Haram militants,,,important,0,Boko Haram militants kill seven people, kill 
205,895,101,seven people,,,important,0,,
206,898,102,A Bronze Age village,,,important,0,A Bronze Age village discovered in Cambridgeshire United Kingdom, discovered in 
207,899,102,Cambridgeshire United Kingdom,,,important,0,,
208,900,103,Junior doctors,,,important,0,Junior doctors in United Kingdom go on strike, in United Kingdom go on 
209,902,103,strike,,,important,0,,
210,904,104,Hurricane Pali,,,important,0,Hurricane Pali becomes earliest hurricane, becomes 
211,905,104,earliest hurricane,,,important,0,,
212,914,105,garment workers crash,,,important,0,garment workers crash in Cambodias Kampong Speu Province, in 
213,915,105,Cambodias Kampong Speu Province,,,important,0,,
214,919,106,jet crashes,,,important,0,jet crashes near southeast port city, near 
215,920,106,southeast port city,,,important,0,,
216,926,107,death,,,important,0,death for spying, for 
217,927,107,spying,,,important,0,,
218,933,108,iran,,,important,0,iran removed a plutonium core, removed 
219,934,108,a plutonium core,,,important,0,,
220,944,109,Persian Gulf,,,important,0,Persian Gulf allegedly entered Iranian waters, allegedly entered 
221,946,109,Iranian waters,,,important,0,,
222,956,110,sanctions,,,important,0,sanctions on Northkorea, on 
223,957,110,Northkorea,,,important,0,,
224,961,111,Li Dongsheng,,,important,0,Li Dongsheng jailed for fifteen years, jailed for 
225,965,111,fifteen years,,,important,0,,
226,974,112,Badawi,,,important,0,Badawi appears in court, appears in 
227,975,112,court,,,important,0,,
228,983,113,Internet Explorer versions,,,important,0,Internet Explorer versions eight nine and ten unsupported by Microsoft,
229,984,113,eight nine,,,important,0,,and
230,985,113,ten,,,important,0,,unsupported by
231,986,113,Microsoft,,,important,0,,
232,988,114,San Diego Chargers,,,important,0,San Diego Chargers approved for relocation, approved for 
233,989,114,relocation,,,important,0,,
234,994,115,a bomb,,,important,0,a bomb explodes near a polio centre, explodes near 
235,995,115,a polio centre,,,important,0,,
236,998,116,South Korean soldiers,,,important,0,South Korean soldiers fire warning shots, fire 
237,999,116,warning shots,,,important,0,,
238,1006,117,Islamic State militants,,,important,0,Islamic State militants attack Pakistans consulate, attack 
239,1007,117,Pakistans consulate,,,important,0,,
240,1013,118,Essam alBuwaydhani,,,important,0,Essam alBuwaydhani as its new leader, as 
241,1014,118,its new leader,,,important,0,,
242,1017,119,ISIS suicide bomber,,,important,0,ISIS suicide bomber registered with Turkish immigration authorities, registered with 
243,1018,119,Turkish immigration authorities,,,important,0,,
244,1020,120,Three winning Powerball lottery tickets,,,important,0,Three winning Powerball lottery tickets sold in US states, sold in 
245,1021,120,US states,,,important,0,,
246,1029,121,Al Jazeera America,,,important,0,Al Jazeera America close in April, close in 
247,1031,121,April,,,important,0,,
248,1042,122,The hurricane season,,,important,0,The hurricane season begins June 1st, begins 
249,1043,122,June 1st,,,important,0,,
250,1050,123,An avalanche,,,important,0,An avalanche kills three, kills 
251,1051,123,three,,,important,0,,
252,1059,124,Iran,,,important,0,Iran has interrogated ten US Navy personnel, has interrogated 
253,1060,124,ten US Navy personnel,,,important,0,,
254,1073,125,Swedish Foreign Minister Margot WallstrAm,,,important,0,Swedish Foreign Minister Margot WallstrAm no longer welcome in country, no longer welcome in 
255,1074,125,country,,,important,0,,
256,1087,126,relations,,,important,0,relations between Cuba and US, between 
257,1088,126,Cuba and US,,,important,0,,
258,1098,127,Indonesian police,,,important,0,Indonesian police suspect Islamic State militants, suspect 
259,1099,127,Islamic State militants,,,important,0,,
260,1103,128,Midyat and Anar DiyarbakAr,,,important,0,Midyat and Anar DiyarbakAr hit by car bombs, hit by 
261,1104,128,car bombs,,,important,0,,
262,1113,129,Israeli soldiers,,,important,0,Israeli soldiers shooting and killing a Palestinian, shooting and killing 
263,1114,129,a Palestinian,,,important,0,,
264,1116,130,The nominations,,,important,0,The nominations announced for 88th Academy Awards, announced for 
265,1117,130,88th Academy Awards,,,important,0,,
266,1123,131,sanction US branch,,,important,0,sanction US branch unilateral decision to allow samesex marriages, unilateral decision to allow 
267,1125,131,samesex marriages,,,important,0,,
268,1128,132,Celine Dion,,,important,0,Celine Dion dies at age 73, dies at 
269,1129,132,age 73,,,important,0,,
270,1132,133,Hurricane Alex,,,important,0,Hurricane Alex becomes first hurricane to form in Atlantic Ocean, becomes first hurricane to form in 
271,1133,133,Atlantic Ocean,,,important,0,,
272,1144,134,Brazil,,,important,0,Brazil reorganizes FundaAsAPound o Nacional, reorganizes 
273,1145,134,FundaAsAPound o Nacional,,,important,0,,
