index,event_id,Final_Goal_Test
0,0, in 
2,1, unveiled on 
4,2, in 
6,3, conciding with 
8,4, replacing 
10,5, has been 
12,6, attack 
14,7, assassinated by 
16,8, takeover 
18,9, excutes 
20,10, claims responsibilty for 
22,11, heard at 
24,12, warns 
26,13,place
27,13,in
29,14, designates 
31,15, preparing for 
33,16, off 
35,17, killed in 
37,18, bombed in 
39,19, releases 
41,20, attacked 
43,21, defending 
45,22, suspended for 
47,23, based in 
49,24, killed from 
51,25, on 
53,26, announces 
55,27, begin 
57,28, defeated 
59,29,named
60,29,of
62,30,confirms
63,30,of
65,31, replacing 
67,32, receives 
69,33, with 
71,34, break out in 
73,35, killed by 
75,36, continue to besiege 
77,37, threatens to destroy 
79,38, resulting in 
81,39, likely to produce 
83,40, will not  interfere with 
85,41, reorganized into 
87,42, expelled from 
89,43, signed by 
91,44, suspend 
93,45, continues 
95,46, dismantled 
97,47, becomes 
99,48, unsuccessfully applied for 
101,49, cease 
103,50, seals off 
105,51, charged with 
107,52, elected to Hall of Fame by 
109,53, killed after 
111,54, open 
113,55, never ratified by 
115,56, dead 
117,57, announces 
119,58, suspended on 
121,59, struck 
123,60, resume 
125,61, bans 
127,62, found in 
129,63, inverstigating 
131,64, injured in 
133,65, shoots 
135,66, in 
137,67, relieved his duties
138,68, recaptures escaped 
140,69, charged with 
142,70, shot dead by 
144,71, shelled by 
146,72, imprisoned by 
148,73, evaculate in under 
150,74, in 
152,75, arrested in 
154,76, dies in 
156,77, kill 
158,78, located in 
160,79, recaptured 
162,80, wins 
164,81, dies from 
166,82, approaches 
168,83, plunges into 
170,84, near 
172,85, makes 
174,86, made by 
176,87, charged with 
178,88, published by 
180,89, plans to secede from 
182,90, appeal 
184,91, killed in 
186,92, destroys 
188,93, collapsing 
190,94, warn 
192,95, resigns after receiving 
194,96, wins 
196,97, banned from playing in 
198,98, to win 
200,99, arrested in 
202,100, backed by 
204,101, kill 
206,102, discovered in 
208,103, in United Kingdom go on 
210,104, becomes 
212,105, in 
214,106, near 
216,107, for 
218,108, removed 
220,109, allegedly entered 
222,110, on 
224,111, jailed for 
226,112, appears in 
229,113,and
230,113,unsupported by
232,114, approved for 
234,115, explodes near 
236,116, fire 
238,117, attack 
240,118, as 
242,119, registered with 
244,120, sold in 
246,121, close in 
248,122, begins 
250,123, kills 
252,124, has interrogated 
254,125, no longer welcome in 
256,126, between 
258,127, suspect 
260,128, hit by 
262,129, shooting and killing 
264,130, announced for 
266,131, unilateral decision to allow 
268,132, dies at 
270,133, becomes first hurricane to form in 
272,134, reorganizes 
274,135, Virus outbreak in 
276,136, of China develop 
278,137, of 
280,138, announce 
282,139, armed with 
284,140, identified 
286,141, overrun 
288,142, confirms 
290,143, celebrates 
292,144, buys 
294,145, carrying 
296,146, heads towards 
298,147, in 
300,148, searching for 
302,149, asks for 
304,150, issued for 
306,151, critically ill in 
308,152, warns 
310,153, in 
312,154, appears in 
314,155, against 
316,156, banned from 
318,157, against 
320,158, against 
322,159, under 
324,160, use tear 
326,161, found in 
328,162,  have been 
330,163, in 
332,164, in 
334,165, in 
336,166, in 
338,167, releases 
340,168, complied with 
342,169, deploy 
344,170, detained at 
346,171, finishes with 
348,172, rises to 
350,173, kills atleast thirteen people
352,174, abduct 
354,175, killed by 
356,176, leaves 
358,177, in 
360,178, imposes 
